station_pair,route_short_name,Direction,duration,length,duration_seconds,av_speed_kmh
Killara Station - Gordon Station,T1,Outbound,0 days 00:03:00,1302.23,180,26.0446
Gordon Station - Pymble Station,T1,Outbound,0 days 00:02:00,1721.09,120,51.6327
Pymble Station - Turramurra Station,T1,Outbound,0 days 00:03:00,1877,180,37.54
Turramurra Station - Warrawee Station,T1,Outbound,0 days 00:02:00,1111.91,120,33.3573
Warrawee Station - Wahroonga Station,T1,Outbound,0 days 00:02:00,819.88,120,24.5964
Wahroonga Station - Waitara Station,T1,Outbound,0 days 00:02:00,1440.97,120,43.2291
Waitara Station - Hornsby Station,T1,Outbound,0 days 00:04:00,1052.66,240,15.7899
Hornsby Station - Asquith Station,T1,Outbound,0 days 00:03:00,1912.95,180,38.259
Asquith Station - Mount Colah Station,T1,Outbound,0 days 00:03:00,2003.37,180,40.0674
Mount Colah Station - Mount Kuring-gai Station,T1,Outbound,0 days 00:03:00,2920.18,180,58.4036
Mount Kuring-gai Station - Berowra Station,T1,Outbound,0 days 00:04:00,4032.82,240,60.4923
Berowra Station - Mount Kuring-gai Station,T9,Inbound,0 days 00:04:00,4030.62,240,60.4593
Mount Kuring-gai Station - Mount Colah Station,T9,Inbound,0 days 00:03:00,2923.2,180,58.464
Mount Colah Station - Asquith Station,T9,Inbound,0 days 00:03:00,1999.64,180,39.9928
Asquith Station - Hornsby Station,T9,Inbound,0 days 00:04:00,1913.53,240,28.70295
Redfern Station - Burwood Station,T9,Outbound,0 days 00:09:00,9415.35,540,62.769
Rhodes Station - West Ryde Station,T9,Outbound,0 days 00:04:00,2657.34,240,39.8601
West Ryde Station - Eastwood Station,T9,Outbound,0 days 00:03:00,2205.05,180,44.101
Eastwood Station - Epping Station,T9,Outbound,0 days 00:03:00,1953.75,180,39.075
Gordon Station - Turramurra Station,T1,Outbound,0 days 00:04:00,3598.09,240,53.97135
Turramurra Station - Waitara Station,T1,Outbound,0 days 00:05:00,3372.76,300,40.47312
